champ,kills,deaths,assists,date,outcome
Graves,5,1,2,Sun Apr 17 01:38:15 PDT 2016,1
Amumu,4,7,13,Sun Apr 17 00:47:09 PDT 2016,0
Graves,3,1,3,Thu Apr 14 17:03:26 PDT 2016,1
Ekko,5,9,4,Wed Apr 13 17:42:16 PDT 2016,0
Malphite,4,5,2,Tue Apr 12 00:40:15 PDT 2016,0
Sivir,5,3,7,Sun Apr 10 00:14:42 PDT 2016,0
Ekko,7,8,10,Fri Apr 08 22:26:59 PDT 2016,0
Ekko,13,0,11,Fri Apr 08 21:32:33 PDT 2016,1
Poppy,11,0,9,Mon Mar 28 19:48:59 PDT 2016,1
Sivir,9,4,9,Thu Mar 24 01:40:50 PDT 2016,0
Lucian,5,7,5,Tue Mar 22 01:33:24 PDT 2016,0
Fiora,14,1,9,Sat Mar 19 23:32:36 PDT 2016,1
Poppy,8,4,11,Sun Mar 13 00:19:10 PST 2016,0
Lucian,15,4,6,Sat Mar 12 17:14:11 PST 2016,0
Tristana,5,4,8,Wed Mar 09 18:21:25 PST 2016,0
Lucian,21,1,13,Wed Mar 09 17:20:48 PST 2016,1
Poppy,1,6,7,Mon Mar 07 21:03:22 PST 2016,0
Gnar,1,2,8,Mon Mar 07 20:24:06 PST 2016,0
Malphite,1,2,14,Mon Mar 07 19:02:15 PST 2016,1
Rammus,3,5,2,Mon Mar 07 18:25:07 PST 2016,0
Malphite,4,1,10,Sun Feb 21 19:56:44 PST 2016,1
Poppy,6,2,7,Sun Feb 21 14:47:15 PST 2016,1
Malphite,2,4,15,Sun Feb 21 01:01:32 PST 2016,1
Poppy,2,4,4,Sun Feb 21 00:07:48 PST 2016,0
Poppy,10,2,15,Sat Feb 20 20:49:58 PST 2016,1
Poppy,7,1,10,Sat Feb 20 18:43:30 PST 2016,1
Poppy,7,6,8,Sat Feb 20 17:33:02 PST 2016,1
Poppy,4,4,1,Sat Feb 20 16:51:55 PST 2016,0
Poppy,8,1,6,Fri Feb 19 18:48:51 PST 2016,1
Poppy,3,4,8,Fri Feb 19 17:53:04 PST 2016,0
Poppy,2,5,8,Fri Feb 19 17:08:07 PST 2016,1
Poppy,3,2,5,Fri Feb 19 16:24:21 PST 2016,1
Poppy,7,1,8,Fri Feb 19 00:26:12 PST 2016,1
Blitzcrank,1,7,9,Sun Feb 14 02:25:23 PST 2016,0
Malphite,4,8,3,Sat Feb 06 00:03:24 PST 2016,0
Gangplank,1,5,3,Fri Feb 05 22:54:04 PST 2016,0
Nasus,4,3,11,Thu Feb 04 20:40:39 PST 2016,0
Trundle,2,5,17,Thu Feb 04 18:18:58 PST 2016,1
Sion,5,2,10,Thu Feb 04 00:50:13 PST 2016,1
Gangplank,8,2,6,Wed Feb 03 16:36:30 PST 2016,1
Gangplank,12,2,11,Sun Jan 31 21:13:24 PST 2016,1
Nasus,3,3,3,Sun Jan 31 20:32:28 PST 2016,0
Nasus,10,1,9,Sun Jan 31 18:34:04 PST 2016,1
Fiora,0,10,6,Sun Jan 31 17:24:57 PST 2016,0
Ezreal,12,6,13,Sat Jan 30 17:36:53 PST 2016,0
Gnar,2,9,4,Sat Jan 30 16:49:52 PST 2016,0
Jax,5,3,7,Fri Jan 29 20:09:13 PST 2016,0
Trundle,6,3,5,Fri Jan 29 19:22:28 PST 2016,1
Vladimir,2,1,8,Fri Jan 29 18:15:29 PST 2016,1
Janna,1,6,22,Fri Jan 29 17:13:50 PST 2016,1
Trundle,5,1,4,Fri Jan 29 13:25:50 PST 2016,1
Nami,2,5,21,Fri Jan 29 01:13:57 PST 2016,1
Brand,8,8,5,Thu Jan 28 21:30:56 PST 2016,0
Hecarim,0,5,11,Thu Jan 28 20:27:43 PST 2016,0
Illaoi,5,2,3,Thu Jan 28 19:07:00 PST 2016,1
Shen,6,2,16,Thu Jan 28 17:56:15 PST 2016,1
