champ,kills,deaths,assists,date,outcome
Leona,3,6,14,Fri Feb 19 16:24:21 PST 2016,1
Leona,2,5,16,Fri Feb 19 00:26:12 PST 2016,1
LeBlanc,10,8,8,Thu Feb 18 23:40:01 PST 2016,0
Leona,1,4,27,Wed Feb 17 21:21:39 PST 2016,1
Ezreal,11,3,19,Mon Feb 15 18:42:21 PST 2016,1
Leona,0,8,27,Thu Feb 04 00:50:13 PST 2016,1
Leona,1,2,20,Wed Feb 03 16:36:30 PST 2016,1
LeBlanc,11,6,11,Sun Jan 31 21:13:24 PST 2016,1
Ahri,8,6,4,Sun Jan 31 20:32:28 PST 2016,0
Blitzcrank,0,6,19,Sun Jan 31 18:34:04 PST 2016,1
Braum,0,9,22,Sun Jan 31 17:24:57 PST 2016,0
Ahri,13,8,10,Sat Jan 30 20:20:27 PST 2016,0
Lee Sin,4,12,19,Sat Jan 30 17:36:53 PST 2016,0
Leona,0,13,19,Sat Jan 30 16:49:52 PST 2016,0
Syndra,2,6,1,Fri Jan 29 21:25:20 PST 2016,0
Ahri,4,7,0,Fri Jan 29 20:09:13 PST 2016,0
Ahri,12,4,12,Fri Jan 29 17:13:50 PST 2016,1
Lee Sin,0,4,13,Fri Jan 29 01:13:57 PST 2016,1
