champ,kills,deaths,assists,date,outcome
Lucian,5,2,4,Wed Apr 06 21:44:51 PDT 2016,1
Malzahar,6,2,4,Mon Apr 04 23:23:54 PDT 2016,1
Ekko,8,5,5,Mon Apr 04 22:41:22 PDT 2016,1
Xin Zhao,2,8,8,Sat Apr 02 19:22:49 PDT 2016,0
Lucian,5,12,4,Sat Apr 02 18:45:04 PDT 2016,0
Lucian,7,8,3,Wed Mar 30 22:37:58 PDT 2016,0
Zed,3,10,0,Tue Mar 29 19:35:02 PDT 2016,0
Lucian,6,7,3,Mon Mar 28 23:44:04 PDT 2016,0
Lucian,1,5,14,Mon Mar 28 21:34:56 PDT 2016,1
Lucian,7,3,5,Mon Mar 28 19:48:59 PDT 2016,1
Lucian,2,4,0,Mon Mar 28 16:31:14 PDT 2016,0
Zed,2,2,8,Mon Mar 28 15:51:49 PDT 2016,1
Lucian,6,9,10,Mon Mar 28 14:40:11 PDT 2016,0
Lucian,11,5,5,Mon Mar 28 11:12:16 PDT 2016,1
Zed,9,2,7,Mon Mar 28 00:27:08 PDT 2016,1
Zed,9,2,8,Sun Mar 27 21:34:34 PDT 2016,1
Zed,9,7,7,Tue Mar 22 22:09:23 PDT 2016,0
Ahri,7,3,12,Tue Mar 22 21:22:54 PDT 2016,1
Lucian,7,5,11,Sat Mar 19 23:32:36 PDT 2016,1
Ezreal,4,5,9,Sat Mar 19 13:44:02 PDT 2016,0
Ashe,16,7,9,Fri Mar 18 22:43:06 PDT 2016,1
Olaf,4,9,1,Thu Mar 17 22:58:29 PDT 2016,0
Olaf,7,5,9,Thu Mar 17 19:40:13 PDT 2016,0
Lucian,7,8,8,Wed Mar 16 23:39:02 PDT 2016,0
Olaf,4,1,11,Wed Mar 16 22:58:54 PDT 2016,1
Lucian,10,4,8,Wed Mar 16 21:35:00 PDT 2016,1
Caitlyn,3,5,5,Tue Mar 15 23:58:53 PDT 2016,0
Lucian,1,6,4,Tue Mar 15 23:09:35 PDT 2016,0
Lucian,7,2,5,Tue Mar 15 22:22:25 PDT 2016,1
Lucian,15,4,8,Sun Mar 13 21:07:15 PDT 2016,1
Lucian,7,4,10,Sun Mar 13 19:31:53 PDT 2016,1
Lucian,5,6,3,Sun Mar 13 16:15:36 PDT 2016,1
Orianna,0,6,12,Sun Mar 13 15:02:22 PDT 2016,1
Alistar,1,6,14,Sun Mar 13 00:19:10 PST 2016,0
Olaf,1,8,7,Sat Mar 12 17:14:11 PST 2016,0
Irelia,2,1,4,Sat Mar 12 16:18:12 PST 2016,1
Olaf,9,5,6,Sat Mar 12 14:26:14 PST 2016,0
Kennen,2,2,5,Fri Mar 11 19:03:19 PST 2016,1
Kayle,6,11,11,Fri Mar 04 19:23:09 PST 2016,0
Leona,2,3,3,Wed Mar 02 19:55:35 PST 2016,0
Kennen,8,2,21,Wed Mar 02 19:07:12 PST 2016,1
Caitlyn,3,7,5,Tue Mar 01 20:23:34 PST 2016,0
Caitlyn,6,8,13,Sun Feb 28 18:48:02 PST 2016,0
Malzahar,6,5,9,Fri Feb 26 18:57:14 PST 2016,0
Alistar,0,6,8,Thu Feb 25 01:35:41 PST 2016,0
Alistar,4,1,20,Wed Feb 24 18:20:44 PST 2016,1
Alistar,0,6,19,Sat Feb 20 20:49:58 PST 2016,1
Alistar,0,6,18,Sat Feb 20 18:43:30 PST 2016,1
Alistar,3,3,18,Sat Feb 20 17:33:02 PST 2016,1
Caitlyn,0,6,2,Sat Feb 20 16:51:55 PST 2016,0
Olaf,9,4,5,Fri Feb 19 22:02:58 PST 2016,0
Olaf,5,3,8,Fri Feb 19 20:33:57 PST 2016,1
Caitlyn,7,11,20,Mon Feb 15 01:21:03 PST 2016,0
Shen,3,4,4,Mon Feb 15 00:24:54 PST 2016,0
Shen,0,4,4,Sat Feb 13 19:32:48 PST 2016,0
Ahri,5,0,1,Tue Feb 09 21:44:51 PST 2016,1
Malzahar,0,4,0,Tue Feb 09 18:39:23 PST 2016,0
Ahri,7,4,8,Wed Feb 03 22:52:13 PST 2016,0
Malzahar,10,3,12,Wed Feb 03 21:27:52 PST 2016,1
Caitlyn,9,6,6,Tue Feb 02 21:48:25 PST 2016,0
Zed,2,4,4,Mon Feb 01 22:42:45 PST 2016,1
Malzahar,3,6,6,Thu Jan 28 19:07:00 PST 2016,1
Zed,5,7,11,Sun Jan 10 19:03:58 PST 2016,1
Zed,3,1,8,Sun Jan 10 14:16:38 PST 2016,1
Olaf,1,6,0,Sat Jan 09 19:19:30 PST 2016,0
Draven,4,5,5,Fri Jan 01 21:54:01 PST 2016,0
Vladimir,1,11,4,Fri Jan 01 21:18:38 PST 2016,0
Zed,10,10,9,Fri Jan 01 20:30:14 PST 2016,1
Annie,10,4,4,Fri Jan 01 20:02:53 PST 2016,1
